grain,penetration
230,40.5
230,38.35
230,56
230,42.55
230,38.35
230,27.75
230,49.85
230,43.6
230,38.75
230,51.25
230,47.9
230,48.15
230,42.9
230,43.85
230,37.35
230,47.3
230,41.15
230,51.6
230,39.75
230,41
200,63.8
200,64.65
200,59.5
200,60.7
200,61.3
200,61.5
200,59.8
200,59.1
200,62.95
200,63.55
200,58.65
200,71.7
200,63.3
200,62.65
200,67.75
200,62.3
200,70.4
200,64.05
200,65
200,58
